precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,4842.0,449393.0,5505.0,224030.0,173784.0,5119.0,65225.0,146799.0,7395.0,208328.0,22365.0,43283.0,32893.0,311620.0,11506.0,45404.0,284644.0,12673.0,116526.0,12687.0,89011.0,26671.0,6814.0,178068.0,88306.0,99266.0,38333.0,46117.0,31152.0,388112.0,20163.0,15768.0,25.33,30.14,100139_3637_0700807,1676932604870,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4845.0,449317.0,5504.0,224139.0,173970.0,5117.0,65173.0,146579.0,7398.0,208412.0,22356.0,43316.0,32896.0,311579.0,11502.0,45399.0,284279.0,12671.0,116327.0,12686.0,89042.0,26670.0,6815.0,178060.0,88315.0,99281.0,38323.0,46110.0,31134.0,388095.0,20158.0,15768.0,25.34,30.14,100139_3637_0700807,1676932606812,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4844.0,449453.0,5504.0,224067.0,173809.0,5116.0,65253.0,146866.0,7396.0,208323.0,22361.0,43291.0,32887.0,311802.0,11508.0,45421.0,284673.0,12674.0,116337.0,12687.0,89012.0,26684.0,6816.0,178142.0,88306.0,99367.0,38329.0,46105.0,31082.0,388093.0,20174.0,15765.0,25.33,30.14,100139_3637_0700807,1676932607782,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4845.0,449151.0,5501.0,224261.0,173837.0,5117.0,65212.0,146986.0,7399.0,208547.0,22366.0,43318.0,32882.0,311749.0,11511.0,45438.0,284463.0,12672.0,116323.0,12692.0,89020.0,26678.0,6819.0,177953.0,88298.0,99333.0,38328.0,46072.0,31097.0,388137.0,20162.0,15764.0,25.33,30.11,100139_3637_0700807,1676932608753,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4843.0,449327.0,5503.0,224308.0,174058.0,5114.0,65147.0,146964.0,7394.0,208433.0,22363.0,43301.0,32893.0,311652.0,11509.0,45408.0,284096.0,12673.0,116410.0,12683.0,89020.0,26676.0,6816.0,178084.0,88318.0,99356.0,38346.0,46092.0,31123.0,388176.0,20164.0,15762.0,25.34,30.13,100139_3637_0700807,1676932609724,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4846.0,448877.0,5509.0,224351.0,173985.0,5116.0,65224.0,146872.0,7399.0,208613.0,22364.0,43316.0,32906.0,311642.0,11507.0,45400.0,284051.0,12672.0,116413.0,12684.0,89032.0,26692.0,6814.0,178155.0,88314.0,99318.0,38328.0,46088.0,31172.0,388195.0,20160.0,15766.0,25.33,30.11,100139_3637_0700807,1676932610695,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4843.0,449322.0,5503.0,224274.0,173913.0,5119.0,65154.0,146754.0,7397.0,208261.0,22363.0,43312.0,32890.0,311654.0,11505.0,45379.0,284424.0,12668.0,116402.0,12685.0,89029.0,26690.0,6814.0,178132.0,88267.0,99313.0,38340.0,46074.0,31149.0,388203.0,20160.0,15765.0,25.35,30.12,100139_3637_0700807,1676932611666,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4838.0,449219.0,5506.0,224340.0,173913.0,5116.0,65108.0,147019.0,7395.0,208395.0,22356.0,43326.0,32904.0,311722.0,11502.0,45400.0,284395.0,12673.0,116468.0,12685.0,89010.0,26686.0,6816.0,178125.0,88281.0,99311.0,38324.0,46088.0,31216.0,388138.0,20165.0,15764.0,25.35,30.13,100139_3637_0700807,1676932612637,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4841.0,449186.0,5507.0,224182.0,173813.0,5116.0,65199.0,146702.0,7395.0,208033.0,22370.0,43324.0,32907.0,311683.0,11508.0,45404.0,284126.0,12672.0,116472.0,12684.0,89067.0,26695.0,6816.0,178115.0,88298.0,99325.0,38318.0,46074.0,31102.0,388155.0,20160.0,15767.0,25.32,30.12,100139_3637_0700807,1676932613608,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4842.0,449392.0,5508.0,224463.0,174001.0,5117.0,65221.0,146936.0,7397.0,208211.0,22366.0,43309.0,32894.0,311669.0,11504.0,45389.0,284584.0,12672.0,116371.0,12684.0,89038.0,26680.0,6815.0,178071.0,88334.0,99268.0,38331.0,46099.0,31131.0,388123.0,20158.0,15761.0,25.32,30.1,100139_3637_0700807,1676932614573,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4844.0,449598.0,5512.0,224212.0,173811.0,5119.0,65216.0,146847.0,7395.0,208068.0,22352.0,43329.0,32905.0,311522.0,11509.0,45422.0,284709.0,12665.0,116439.0,12689.0,89062.0,26695.0,6815.0,177964.0,88330.0,99242.0,38321.0,46091.0,31095.0,388026.0,20159.0,15765.0,25.3,30.12,100139_3637_0700807,1676932615544,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4842.0,449141.0,5501.0,224328.0,173889.0,5123.0,65216.0,146956.0,7398.0,208352.0,22361.0,43320.0,32907.0,311698.0,11507.0,45429.0,284417.0,12675.0,116561.0,12686.0,89018.0,26675.0,6814.0,178021.0,88323.0,99323.0,38329.0,46083.0,31094.0,388128.0,20162.0,15771.0,25.32,30.11,100139_3637_0700807,1676932616506,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4837.0,449514.0,5509.0,224266.0,173845.0,5120.0,65244.0,147048.0,7399.0,208049.0,22363.0,43312.0,32899.0,311538.0,11511.0,45417.0,284736.0,12672.0,116332.0,12684.0,89008.0,26696.0,6817.0,178038.0,88298.0,99350.0,38340.0,46073.0,31135.0,388053.0,20158.0,15764.0,25.33,30.11,100139_3637_0700807,1676932617477,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4843.0,449046.0,5504.0,224465.0,173904.0,5118.0,65218.0,146622.0,7393.0,208308.0,22364.0,43308.0,32905.0,311552.0,11507.0,45411.0,284287.0,12672.0,116423.0,12685.0,89009.0,26675.0,6812.0,178008.0,88310.0,99343.0,38317.0,46100.0,31119.0,388146.0,20161.0,15772.0,25.33,30.12,100139_3637_0700807,1676932618448,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4841.0,449625.0,5504.0,224010.0,173646.0,5123.0,65210.0,146713.0,7396.0,208118.0,22361.0,43318.0,32901.0,311505.0,11508.0,45408.0,284588.0,12670.0,116453.0,12683.0,89027.0,26665.0,6815.0,178092.0,88304.0,99340.0,38331.0,46117.0,31109.0,388142.0,20161.0,15769.0,25.32,30.12,100139_3637_0700807,1676932619414,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4842.0,449338.0,5503.0,223910.0,173726.0,5117.0,65192.0,146859.0,7398.0,208022.0,22359.0,43315.0,32898.0,311599.0,11504.0,45408.0,284404.0,12674.0,116544.0,12683.0,89023.0,26676.0,6816.0,178028.0,88343.0,99330.0,38323.0,46102.0,31124.0,388136.0,20159.0,15767.0,25.36,30.11,100139_3637_0700807,1676932620385,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4842.0,449626.0,5500.0,224312.0,173698.0,5118.0,65168.0,146448.0,7392.0,208210.0,22367.0,43308.0,32901.0,311549.0,11507.0,45416.0,284491.0,12676.0,116469.0,12684.0,89024.0,26674.0,6814.0,178043.0,88330.0,99368.0,38334.0,46091.0,31167.0,388084.0,20164.0,15760.0,25.35,30.11,100139_3637_0700807,1676932621350,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4845.0,448919.0,5511.0,224434.0,173740.0,5117.0,65214.0,146855.0,7398.0,208373.0,22358.0,43306.0,32904.0,311658.0,11504.0,45409.0,284670.0,12671.0,116430.0,12685.0,89032.0,26667.0,6816.0,178095.0,88345.0,99315.0,38318.0,46100.0,31178.0,388117.0,20155.0,15769.0,25.38,30.12,100139_3637_0700807,1676932622321,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4842.0,449242.0,5506.0,224177.0,173710.0,5117.0,65232.0,146693.0,7392.0,207899.0,22366.0,43300.0,32903.0,311500.0,11505.0,45414.0,284620.0,12674.0,116470.0,12683.0,89019.0,26699.0,6817.0,178039.0,88295.0,99338.0,38328.0,46110.0,31134.0,388093.0,20163.0,15762.0,25.33,30.11,100139_3637_0700807,1676932623292,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4842.0,449237.0,5508.0,224718.0,173807.0,5121.0,65237.0,146572.0,7394.0,208035.0,22359.0,43316.0,32895.0,311744.0,11509.0,45398.0,284341.0,12677.0,116548.0,12685.0,89015.0,26696.0,6819.0,177948.0,88310.0,99319.0,38328.0,46097.0,31091.0,388150.0,20160.0,15761.0,25.32,30.11,100139_3637_0700807,1676932625234,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4844.0,449162.0,5505.0,224596.0,173934.0,5119.0,65266.0,146755.0,7399.0,208353.0,22368.0,43301.0,32897.0,311713.0,11508.0,45413.0,284768.0,12675.0,116467.0,12686.0,88981.0,26673.0,6819.0,178077.0,88313.0,99376.0,38344.0,46089.0,31087.0,388063.0,20158.0,15762.0,25.33,30.11,100139_3637_0700807,1676932626205,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4844.0,449315.0,5506.0,224485.0,173702.0,5120.0,65249.0,146888.0,7397.0,208307.0,22373.0,43303.0,32905.0,311660.0,11509.0,45402.0,284215.0,12669.0,116489.0,12684.0,89023.0,26681.0,6811.0,178205.0,88293.0,99433.0,38341.0,46099.0,31133.0,388093.0,20164.0,15763.0,25.35,30.1,100139_3637_0700807,1676932627170,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4844.0,449718.0,5505.0,224433.0,173865.0,5120.0,65242.0,146387.0,7400.0,208284.0,22375.0,43297.0,32895.0,311585.0,11507.0,45421.0,284355.0,12678.0,116549.0,12686.0,89027.0,26647.0,6814.0,178187.0,88305.0,99340.0,38335.0,46087.0,31096.0,388263.0,20165.0,15769.0,25.32,30.14,100139_3637_0700807,1676932628132,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4842.0,449790.0,5509.0,224858.0,173818.0,5119.0,65231.0,147039.0,7393.0,208115.0,22385.0,43322.0,32908.0,311458.0,11505.0,45407.0,284597.0,12676.0,116434.0,12684.0,88999.0,26703.0,6815.0,178174.0,88326.0,99327.0,38349.0,46089.0,31113.0,388232.0,20161.0,15771.0,25.29,30.11,100139_3637_0700807,1676932629103,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4841.0,450140.0,5506.0,224676.0,173935.0,5124.0,65308.0,146813.0,7394.0,208011.0,22372.0,43308.0,32899.0,311631.0,11507.0,45413.0,284332.0,12676.0,116366.0,12684.0,89089.0,26682.0,6816.0,178281.0,88346.0,99367.0,38340.0,46102.0,31045.0,388152.0,20162.0,15766.0,25.32,30.11,100139_3637_0700807,1676932630074,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
