precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,4855.0,463650.0,5509.0,223869.0,174608.0,5131.0,65689.0,147232.0,7396.0,215499.0,22707.0,43593.0,32907.0,315261.0,11575.0,46299.0,288213.0,12731.0,116866.0,12672.0,89020.0,27017.0,6876.0,183646.0,90431.0,99428.0,39084.0,50186.0,30605.0,403581.0,20164.0,15736.0,26.32,30.46,100139_3637_0700807,1676928334366,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4854.0,463471.0,5506.0,223835.0,174565.0,5126.0,65691.0,147206.0,7395.0,215651.0,22714.0,43602.0,32900.0,315117.0,11569.0,46298.0,288018.0,12729.0,116955.0,12678.0,89012.0,27047.0,6872.0,183705.0,90390.0,99487.0,39078.0,50158.0,30594.0,403481.0,20158.0,15746.0,26.4,30.46,100139_3637_0700807,1676928336296,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4854.0,463183.0,5507.0,223957.0,174449.0,5132.0,65711.0,147384.0,7394.0,215245.0,22711.0,43604.0,32899.0,315159.0,11580.0,46309.0,287991.0,12728.0,116885.0,12678.0,89049.0,27036.0,6870.0,183682.0,90415.0,99349.0,39074.0,50184.0,30521.0,403635.0,20160.0,15746.0,26.4,30.46,100139_3637_0700807,1676928337266,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4851.0,463476.0,5508.0,223890.0,174435.0,5133.0,65721.0,147115.0,7397.0,215702.0,22700.0,43612.0,32900.0,315031.0,11577.0,46282.0,287901.0,12732.0,116958.0,12680.0,89013.0,27047.0,6872.0,183653.0,90400.0,99406.0,39074.0,50184.0,30528.0,403415.0,20166.0,15745.0,26.36,30.47,100139_3637_0700807,1676928338237,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4856.0,463466.0,5507.0,224255.0,174695.0,5127.0,65682.0,147554.0,7396.0,215448.0,22691.0,43614.0,32904.0,315033.0,11576.0,46306.0,288464.0,12730.0,116835.0,12680.0,89020.0,27019.0,6875.0,183688.0,90413.0,99411.0,39080.0,50209.0,30441.0,403375.0,20163.0,15739.0,26.37,30.45,100139_3637_0700807,1676928339208,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4857.0,463127.0,5509.0,223385.0,174722.0,5135.0,65655.0,147286.0,7396.0,215668.0,22705.0,43594.0,32909.0,314997.0,11573.0,46274.0,288108.0,12726.0,116860.0,12675.0,89054.0,27016.0,6876.0,183577.0,90409.0,99513.0,39077.0,50184.0,30461.0,403291.0,20163.0,15745.0,26.38,30.45,100139_3637_0700807,1676928340178,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4853.0,463214.0,5507.0,223565.0,174793.0,5135.0,65659.0,147501.0,7396.0,215645.0,22706.0,43606.0,32909.0,314977.0,11570.0,46264.0,288196.0,12729.0,116815.0,12676.0,89032.0,27042.0,6877.0,183711.0,90408.0,99488.0,39086.0,50163.0,30617.0,403249.0,20163.0,15737.0,26.38,30.43,100139_3637_0700807,1676928341149,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4853.0,463505.0,5508.0,223552.0,174445.0,5135.0,65704.0,147430.0,7399.0,215645.0,22690.0,43606.0,32904.0,315074.0,11572.0,46292.0,288324.0,12728.0,116822.0,12677.0,89054.0,27014.0,6877.0,183598.0,90410.0,99471.0,39103.0,50194.0,30510.0,403542.0,20163.0,15738.0,26.36,30.42,100139_3637_0700807,1676928342119,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4851.0,463345.0,5507.0,223602.0,174500.0,5130.0,65641.0,147445.0,7395.0,215424.0,22711.0,43565.0,32906.0,314857.0,11572.0,46300.0,287848.0,12727.0,116853.0,12676.0,89052.0,27047.0,6874.0,183601.0,90414.0,99491.0,39095.0,50187.0,30458.0,403392.0,20164.0,15736.0,26.39,30.41,100139_3637_0700807,1676928344060,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4855.0,463323.0,5508.0,223674.0,174615.0,5132.0,65672.0,147671.0,7397.0,215568.0,22706.0,43614.0,32914.0,314974.0,11573.0,46278.0,288103.0,12728.0,116818.0,12675.0,89052.0,27034.0,6876.0,183511.0,90413.0,99453.0,39096.0,50192.0,30523.0,403313.0,20163.0,15738.0,26.35,30.42,100139_3637_0700807,1676928345020,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4852.0,463427.0,5506.0,223840.0,174555.0,5133.0,65619.0,147485.0,7403.0,215536.0,22707.0,43597.0,32905.0,314829.0,11574.0,46288.0,288200.0,12727.0,116819.0,12679.0,89051.0,27045.0,6874.0,183655.0,90404.0,99451.0,39084.0,50171.0,30590.0,403407.0,20165.0,15740.0,26.38,30.41,100139_3637_0700807,1676928345991,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4856.0,463451.0,5514.0,224011.0,174475.0,5132.0,65661.0,147523.0,7402.0,215655.0,22698.0,43609.0,32896.0,314901.0,11573.0,46300.0,288476.0,12732.0,116796.0,12676.0,89022.0,27030.0,6874.0,183576.0,90402.0,99458.0,39084.0,50168.0,30518.0,403401.0,20160.0,15736.0,26.38,30.4,100139_3637_0700807,1676928346950,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
