precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,4864.0,469083.0,5516.0,226288.0,174966.0,5141.0,65830.0,148249.0,7402.0,218235.0,22973.0,43792.0,32948.0,316372.0,11683.0,46542.0,288761.0,12765.0,117178.0,12695.0,89232.0,27120.0,6884.0,189188.0,91452.0,99660.0,39573.0,52849.0,28797.0,413857.0,20187.0,15770.0,25.8,32.46,100139_3637_0700807,1676927434228,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4861.0,469222.0,5515.0,225839.0,174814.0,5136.0,65832.0,148165.0,7405.0,218336.0,22980.0,43807.0,32941.0,316432.0,11683.0,46550.0,288452.0,12767.0,117177.0,12696.0,89256.0,27121.0,6885.0,189096.0,91422.0,99698.0,39558.0,52844.0,28857.0,413722.0,20188.0,15770.0,25.78,32.43,100139_3637_0700807,1676927436165,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4865.0,469134.0,5518.0,226150.0,174996.0,5142.0,65813.0,147811.0,7409.0,218422.0,22979.0,43790.0,32938.0,316386.0,11683.0,46556.0,288300.0,12767.0,117279.0,12698.0,89218.0,27113.0,6883.0,189042.0,91455.0,99640.0,39576.0,52821.0,28840.0,413680.0,20184.0,15767.0,25.81,32.41,100139_3637_0700807,1676927437136,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4864.0,469120.0,5516.0,225912.0,174946.0,5138.0,65804.0,148025.0,7408.0,218215.0,22980.0,43822.0,32951.0,316346.0,11683.0,46547.0,288321.0,12770.0,117256.0,12695.0,89247.0,27100.0,6884.0,189221.0,91452.0,99645.0,39570.0,52847.0,28897.0,413709.0,20193.0,15768.0,25.8,32.39,100139_3637_0700807,1676927438101,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4865.0,469271.0,5516.0,226115.0,174870.0,5141.0,65768.0,147921.0,7407.0,218346.0,22965.0,43784.0,32942.0,316391.0,11678.0,46536.0,288571.0,12766.0,117177.0,12699.0,89213.0,27098.0,6882.0,189228.0,91421.0,99641.0,39572.0,52832.0,28949.0,413543.0,20195.0,15760.0,25.79,32.38,100139_3637_0700807,1676927439073,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4864.0,469052.0,5516.0,225916.0,174855.0,5140.0,65863.0,148398.0,7404.0,218346.0,22969.0,43781.0,32952.0,316394.0,11684.0,46550.0,288028.0,12762.0,117221.0,12696.0,89233.0,27122.0,6880.0,189385.0,91402.0,99656.0,39558.0,52852.0,29032.0,413627.0,20189.0,15770.0,25.77,32.37,100139_3637_0700807,1676927440043,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4864.0,468790.0,5516.0,225829.0,174828.0,5141.0,65851.0,148153.0,7404.0,218320.0,22967.0,43802.0,32942.0,316479.0,11683.0,46536.0,288264.0,12762.0,117338.0,12697.0,89239.0,27122.0,6880.0,189314.0,91436.0,99637.0,39555.0,52813.0,29022.0,413491.0,20185.0,15773.0,25.85,32.35,100139_3637_0700807,1676927441014,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4860.0,468966.0,5514.0,225748.0,174873.0,5142.0,65800.0,148232.0,7406.0,218327.0,22970.0,43803.0,32944.0,316360.0,11679.0,46523.0,288336.0,12765.0,117311.0,12699.0,89225.0,27118.0,6883.0,189166.0,91440.0,99623.0,39565.0,52772.0,28906.0,413310.0,20187.0,15771.0,25.8,32.33,100139_3637_0700807,1676927441984,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4864.0,469293.0,5514.0,225834.0,174958.0,5137.0,65862.0,148200.0,7403.0,218215.0,22959.0,43795.0,32956.0,316435.0,11681.0,46533.0,288380.0,12759.0,117257.0,12694.0,89237.0,27108.0,6882.0,189063.0,91406.0,99615.0,39547.0,52796.0,28945.0,413368.0,20191.0,15766.0,25.8,32.32,100139_3637_0700807,1676927442954,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,4863.0,469486.0,5515.0,225686.0,174790.0,5141.0,65861.0,147632.0,7405.0,218271.0,22959.0,43809.0,32938.0,316427.0,11675.0,46537.0,288520.0,12763.0,117193.0,12697.0,89243.0,27086.0,6886.0,189149.0,91410.0,99655.0,39538.0,52768.0,29030.0,413303.0,20191.0,15768.0,25.79,32.27,100139_3637_0700807,1676927444887,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
