RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,17565,215818,25877,1129,43846,74540,11789,296291,5732,84359,2000000,451158,3589,695676,5375,92000,24091,88243,36161,124423,175253,68472,11308,66434,8162,22777,5309,11446,82442,592933,350574,180393,22.31,31.8,1002.09,177162.62,-1,baseline
2000000,17539,216300,25863,1101,43837,74524,11764,296478,5728,84404,2000000,452174,3591,695404,5350,92177,24058,88298,36121,124434,175224,68454,11289,66429,8139,22731,5295,11389,82310,592174,350800,180326,22.31,31.76,1002.1,177346.73,-1,baseline
2000000,17527,216410,25837,1092,43819,74454,11777,296096,5707,84350,2000000,451829,3570,695391,5369,92935,24060,88241,36132,124430,175125,68451,11265,66373,8150,22742,5300,11410,82413,591334,350399,180363,22.32,31.76,1002.09,177346.73,-1,baseline
2000000,17527,216238,25852,1112,43869,74572,11805,296177,5687,84320,2000000,452416,3557,695468,5344,92713,24046,88394,36120,124448,175186,68441,11280,66407,8167,22727,5289,11408,82437,591563,350658,180235,22.31,31.75,1002.09,176247.84,-1,baseline
2000000,17546,216205,25874,1083,43810,74486,11755,296296,5687,84347,2000000,451913,3582,694388,5334,92431,24064,88317,36123,124402,175191,68445,11258,66366,8112,22709,5304,11403,82438,590106,350107,180256,22.31,31.72,1002.1,177901.32,-1,baseline
2000000,17536,216170,25858,1096,43848,74562,11775,296173,5696,84358,2000000,452213,3580,695031,5346,92627,24049,88279,36117,124421,175167,68425,11262,66362,8130,22742,5293,11382,82380,591453,350736,180442,22.31,31.68,1002.1,176795.57,-1,baseline
2000000,17547,216275,25874,1124,43848,74628,11805,296203,5689,84356,2000000,451329,3579,695801,5362,92293,24056,88278,36117,124428,175053,68402,11255,66291,8128,22738,5277,11360,82363,591731,350272,180249,22.31,31.69,1002.12,176247.84,-1,baseline
2000000,17525,216253,25839,1115,43843,74542,11768,296163,5700,84329,2000000,452066,3586,695593,5373,92542,24067,88379,36146,124428,175174,68391,11258,66292,8144,22725,5307,11394,82432,591825,350910,180333,22.31,31.67,1002.11,175162.5,-1,baseline
2000000,17575,216449,25868,1127,43858,74541,11777,296055,5694,84376,2000000,453273,3561,695211,5337,92362,24049,88337,36155,124437,175221,68430,11251,66352,8150,22756,5295,11407,82428,592136,350836,180275,22.31,31.65,1002.11,176066.03,-1,baseline
2000000,17520,216390,25877,1099,43849,74594,11791,296541,5698,84378,2000000,452810,3566,695655,5344,92180,24047,88358,36120,124362,175129,68430,11269,66293,8136,22745,5272,11408,82419,591982,349991,180282,22.31,31.65,1002.14,176066.03,-1,baseline
2000000,17548,216693,25861,1127,43833,74531,11802,296357,5714,84356,2000000,452156,3580,696008,5357,92421,24065,88192,36159,124093,175186,68417,11278,66302,8148,22763,5307,11394,82441,590861,350448,180261,22.32,31.63,1002.12,175342.46,-1,baseline
2000000,17534,216405,25850,1085,43804,74464,11779,296216,5707,84289,2000000,452195,3596,695080,5339,92333,24037,88199,36144,124549,175072,68348,11246,66298,8136,22718,5277,11382,82495,591186,350046,180396,22.32,31.64,1002.12,175522.79,-1,baseline
2000000,17511,216301,25838,1096,43796,74495,11782,296414,5687,84355,2000000,452527,3593,695964,5346,92308,24069,87989,36122,124451,175133,68356,11265,66286,8143,22738,5312,11394,82441,590360,350426,180219,22.32,31.63,1002.11,177162.62,-1,baseline
2000000,17548,216138,25857,1129,43818,74503,11800,296414,5668,84313,2000000,451386,3568,695085,5353,92044,24058,88147,36132,124442,175089,68387,11280,66228,8159,22754,5281,11376,82385,590205,350641,180304,22.32,31.63,1002.11,177716.07,-1,baseline
2000000,17554,216244,25848,1097,43833,74578,11796,296361,5696,84348,2000000,451243,3566,695492,5327,91872,24067,88286,36104,124428,175189,68360,11273,66220,8123,22729,5288,11364,82375,591197,350206,180236,22.32,31.63,1002.14,177716.07,-1,baseline
