RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,17642,218709,25756,1115,43540,74725,11646,298561,5700,84768,2000000,477723,3589,704433,5528,92406,22912,88007,36099,124517,175549,69040,11260,68681,7678,22400,5305,11069,88943,615098,350255,181390,22.5,34.23,999.33,166125.89,-1,baseline
2000000,17634,218428,25783,1094,43507,74812,11632,298721,5664,84747,2000000,477344,3598,703694,5547,92753,22919,87997,36113,124553,175470,69058,11265,68688,7665,22445,5295,11074,89052,615992,349590,181378,22.49,34.23,999.33,165161.29,-1,baseline
2000000,17599,218549,25723,1074,43476,74689,11600,298302,5687,84722,2000000,478258,3527,704445,5535,92652,22902,87944,36082,124478,175527,69053,11260,68666,7662,22416,5305,11067,89041,616698,349840,181424,22.48,34.23,999.32,165964.34,-1,baseline
2000000,17600,218704,25741,1067,43541,74737,11584,298772,5686,84723,2000000,478268,3561,704436,5504,92507,22903,88032,36116,124480,175579,69075,11255,68735,7669,22438,5305,11089,89030,614978,349777,181372,22.47,34.25,999.31,165321.28,-1,baseline
2000000,17608,218471,25730,1094,43497,74680,11575,298681,5686,84738,2000000,478248,3559,703935,5545,92667,22956,88029,36113,124479,175518,69021,11280,68729,7687,22429,5309,11106,89069,615283,349738,181485,22.47,34.26,999.37,166287.75,-1,baseline
2000000,17601,218047,25765,1103,43494,74750,11593,298677,5696,84785,2000000,477521,3543,704192,5526,92665,22917,88033,36118,124452,175547,69086,11267,68742,7665,22434,5286,11087,88994,615110,350081,181412,22.46,34.27,999.45,165964.34,-1,baseline
2000000,17612,218394,25770,1115,43502,74671,11625,298687,5686,84759,2000000,477376,3568,705533,5538,92665,22935,87996,36131,124304,175534,69056,11244,68697,7660,22402,5297,11078,89002,615763,349855,181309,22.45,34.28,999.42,165964.34,-1,baseline
2000000,17618,218127,25720,1051,43477,74697,11603,298593,5702,84725,2000000,476825,3547,704801,5526,92470,22928,87962,36136,124503,175523,69027,11269,68750,7672,22411,5282,11062,88989,616301,350044,181332,22.45,34.31,999.45,166125.89,-1,baseline
2000000,17618,218362,25725,1089,43521,74691,11614,298229,5670,84737,2000000,476749,3579,705303,5535,92734,22919,88086,36102,124594,175495,69027,11241,68761,7653,22404,5277,11080,89045,616025,349622,181298,22.43,34.32,999.46,165642.18,-1,baseline
2000000,17607,218034,25728,1073,43474,74609,11609,298434,5684,84703,2000000,476232,3568,703618,5552,92333,22926,88034,36122,124461,175549,69067,11255,68712,7651,22422,5291,11094,89027,614949,350289,181228,22.43,34.33,999.47,166449.93,-1,baseline
