precision_resistor,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,deviceid,timestamp_ms,mfc_1,mfc_2,mfc_3,mfc_4,mfc_5,trial_state
10000.0,1595.0,9696.0,38722.0,25159.0,102077.0,49188.0,6000.0,400627.0,6928.0,246795.0,229585.0,14781.0,34417.0,64021.0,3830.0,4208.0,100700.0,13213.0,189628.0,19159.0,17555.0,132978.0,312918.0,347503.0,50856.0,10916.0,25847.0,553698.0,32182.0,38569.0,136599.0,39636.0,26.95,36.08,100336_9598_704508,1676928337063,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1595.0,9693.0,38726.0,25181.0,102109.0,49182.0,6001.0,400681.0,6925.0,246250.0,229612.0,14776.0,34431.0,63995.0,3827.0,4206.0,100702.0,13211.0,189885.0,19159.0,17562.0,132972.0,313247.0,348179.0,50874.0,10915.0,25870.0,553949.0,32176.0,38562.0,136565.0,39612.0,26.95,36.06,100336_9598_704508,1676928338037,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1596.0,9695.0,38715.0,25161.0,102047.0,49176.0,6002.0,401462.0,6929.0,246735.0,229571.0,14775.0,34429.0,63984.0,3825.0,4204.0,100692.0,13214.0,189981.0,19161.0,17562.0,132892.0,313087.0,349084.0,50844.0,10912.0,25850.0,553896.0,32184.0,38553.0,136638.0,39615.0,26.96,36.04,100336_9598_704508,1676928339002,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1594.0,9693.0,38714.0,25183.0,102126.0,49176.0,6003.0,401697.0,6927.0,246619.0,229446.0,14779.0,34431.0,64003.0,3830.0,4209.0,100689.0,13212.0,189959.0,19156.0,17555.0,133026.0,313089.0,348526.0,50825.0,10912.0,25901.0,553077.0,32179.0,38548.0,136544.0,39606.0,26.98,36.05,100336_9598_704508,1676928339977,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1595.0,9692.0,38720.0,25171.0,102181.0,49170.0,6000.0,401727.0,6931.0,246819.0,229524.0,14779.0,34435.0,63995.0,3831.0,4205.0,100695.0,13216.0,189909.0,19160.0,17554.0,133129.0,312861.0,349049.0,50839.0,10917.0,25880.0,553132.0,32176.0,38552.0,136502.0,39625.0,26.99,36.05,100336_9598_704508,1676928340952,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1597.0,9693.0,38726.0,25175.0,102053.0,49182.0,6001.0,401778.0,6928.0,246417.0,229573.0,14776.0,34424.0,64029.0,3830.0,4207.0,100695.0,13211.0,190082.0,19160.0,17560.0,132921.0,312763.0,348188.0,50848.0,10911.0,25869.0,553605.0,32174.0,38541.0,136552.0,39616.0,26.98,36.03,100336_9598_704508,1676928341921,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1597.0,9691.0,38724.0,25174.0,102147.0,49198.0,5998.0,401555.0,6929.0,246326.0,229416.0,14776.0,34421.0,64015.0,3828.0,4208.0,100700.0,13212.0,190271.0,19162.0,17559.0,132841.0,313168.0,347847.0,50847.0,10917.0,25857.0,552984.0,32172.0,38558.0,136659.0,39603.0,26.94,36.05,100336_9598_704508,1676928342896,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1597.0,9695.0,38716.0,25169.0,102098.0,49180.0,6003.0,401612.0,6930.0,246244.0,229396.0,14773.0,34422.0,64013.0,3830.0,4207.0,100684.0,13214.0,189990.0,19161.0,17559.0,132825.0,313005.0,348896.0,50840.0,10915.0,25932.0,552778.0,32169.0,38551.0,136621.0,39600.0,26.98,36.04,100336_9598_704508,1676928343871,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1598.0,9692.0,38712.0,25173.0,102098.0,49172.0,5999.0,401317.0,6928.0,246495.0,229485.0,14778.0,34428.0,64006.0,3833.0,4203.0,100694.0,13212.0,190025.0,19156.0,17559.0,132789.0,313214.0,348043.0,50836.0,10916.0,25884.0,552936.0,32184.0,38551.0,136587.0,39595.0,26.95,36.04,100336_9598_704508,1676928344846,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1596.0,9696.0,38713.0,25165.0,102055.0,49141.0,6000.0,400532.0,6927.0,246146.0,229488.0,14779.0,34425.0,64022.0,3827.0,4205.0,100692.0,13213.0,189896.0,19163.0,17558.0,132765.0,313138.0,347871.0,50875.0,10913.0,25936.0,552907.0,32175.0,38549.0,136506.0,39621.0,26.98,36.04,100336_9598_704508,1676928345820,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1596.0,9694.0,38702.0,25170.0,102047.0,49170.0,6001.0,401669.0,6925.0,246780.0,229600.0,14778.0,34435.0,64012.0,3827.0,4204.0,100693.0,13211.0,190217.0,19157.0,17549.0,132888.0,313331.0,347919.0,50843.0,10912.0,25918.0,552548.0,32183.0,38550.0,136484.0,39623.0,26.99,36.03,100336_9598_704508,1676928346795,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1597.0,9688.0,38705.0,25182.0,102104.0,49211.0,5999.0,401488.0,6925.0,246670.0,229568.0,14772.0,34421.0,64002.0,3830.0,4204.0,100700.0,13209.0,189844.0,19160.0,17557.0,132953.0,313116.0,347369.0,50811.0,10914.0,25948.0,552169.0,32182.0,38536.0,136472.0,39628.0,26.99,36.04,100336_9598_704508,1676928347770,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1596.0,9691.0,38721.0,25163.0,102055.0,49183.0,6003.0,401320.0,6928.0,246556.0,229461.0,14777.0,34418.0,63996.0,3826.0,4202.0,100694.0,13211.0,190109.0,19161.0,17552.0,132875.0,313255.0,348516.0,50814.0,10913.0,25900.0,552721.0,32175.0,38553.0,136555.0,39618.0,26.98,36.02,100336_9598_704508,1676928348745,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1596.0,9692.0,38703.0,25166.0,102057.0,49202.0,6001.0,401084.0,6927.0,246629.0,229485.0,14779.0,34423.0,63991.0,3827.0,4207.0,100692.0,13210.0,190067.0,19159.0,17560.0,132804.0,313171.0,348116.0,50827.0,10916.0,25952.0,552086.0,32175.0,38551.0,136510.0,39595.0,26.99,36.03,100336_9598_704508,1676928349720,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1596.0,9692.0,38699.0,25155.0,102058.0,49187.0,6000.0,401212.0,6926.0,245981.0,229636.0,14777.0,34419.0,64021.0,3828.0,4204.0,100690.0,13211.0,189684.0,19157.0,17560.0,132945.0,313120.0,347536.0,50823.0,10915.0,25925.0,552654.0,32183.0,38544.0,136577.0,39599.0,26.99,36.03,100336_9598_704508,1676928350694,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1596.0,9691.0,38713.0,25166.0,102131.0,49173.0,5999.0,400838.0,6927.0,246325.0,229581.0,14777.0,34433.0,63987.0,3828.0,4206.0,100672.0,13213.0,189909.0,19160.0,17557.0,132915.0,312846.0,347561.0,50828.0,10916.0,25861.0,553047.0,32179.0,38545.0,136560.0,39596.0,26.96,36.02,100336_9598_704508,1676928351669,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1595.0,9692.0,38703.0,25166.0,102071.0,49184.0,6001.0,401330.0,6929.0,246687.0,229600.0,14779.0,34418.0,64018.0,3827.0,4205.0,100679.0,13208.0,189982.0,19162.0,17555.0,132852.0,312951.0,347542.0,50836.0,10915.0,25908.0,553063.0,32176.0,38555.0,136569.0,39600.0,26.98,36.03,100336_9598_704508,1676928352644,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1596.0,9695.0,38711.0,25156.0,102075.0,49201.0,6001.0,400999.0,6927.0,246907.0,229598.0,14778.0,34423.0,63991.0,3828.0,4205.0,100687.0,13205.0,189938.0,19162.0,17560.0,132721.0,312944.0,347833.0,50820.0,10912.0,25933.0,552187.0,32169.0,38539.0,136550.0,39613.0,26.98,36.01,100336_9598_704508,1676928353619,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1597.0,9693.0,38701.0,25167.0,102052.0,49229.0,6000.0,401248.0,6928.0,246739.0,229557.0,14777.0,34416.0,63997.0,3827.0,4205.0,100684.0,13205.0,189889.0,19159.0,17552.0,132742.0,312817.0,347233.0,50831.0,10911.0,25942.0,552331.0,32162.0,38543.0,136554.0,39598.0,26.98,36.02,100336_9598_704508,1676928354594,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1597.0,9691.0,38706.0,25169.0,102088.0,49223.0,5999.0,401260.0,6927.0,246394.0,229550.0,14778.0,34424.0,64010.0,3827.0,4205.0,100698.0,13208.0,189641.0,19158.0,17553.0,133050.0,312816.0,347480.0,50846.0,10916.0,25922.0,552345.0,32163.0,38532.0,136500.0,39632.0,26.98,36.02,100336_9598_704508,1676928355569,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
10000.0,1595.0,9694.0,38704.0,25169.0,102047.0,49201.0,5999.0,402265.0,6930.0,246395.0,229424.0,14774.0,34422.0,63992.0,3828.0,4207.0,100689.0,13209.0,190226.0,19159.0,17559.0,132925.0,312840.0,347539.0,50839.0,10915.0,25943.0,552679.0,32166.0,38534.0,136517.0,39621.0,26.98,36.02,100336_9598_704508,1676928356543,-1.0,-1.0,-1.0,-1.0,-1.0,baseline_11
