RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,14678,940740,233211,618204,102172,58509,24410,376433,67900,448161,2000000,70568,10581,599966,133003,220796,168506,174800,138490,193713,217713,116017,32362,143849,27871,162245,34297,18104,1091295,610930,86976,103368,22.71,33.46,1001.37,116868.29,-1,baseline
2000000,14698,938456,233359,617453,102153,58614,24394,376265,67874,449191,2000000,70583,10568,600300,133247,222712,168587,174879,138508,193688,217719,115957,32385,143692,27875,162042,34309,18099,1087819,610692,86931,103362,22.71,33.41,1001.36,117108.87,-1,baseline
2000000,14689,941130,233423,617721,102201,58489,24419,376058,67864,448721,2000000,70517,10586,600197,133252,220972,168635,175012,138499,193769,217304,116049,32406,143629,27859,162019,34321,18127,1085200,610655,86916,103372,22.7,33.37,1001.34,117350.44,-1,baseline
2000000,14691,938575,233201,617113,102181,58558,24394,376250,67871,449760,2000000,70533,10593,599609,133133,220402,168637,174828,138579,193632,217283,115957,32394,143542,27849,162101,34289,18083,1077882,610696,86970,103392,22.7,33.33,1001.34,117350.44,-1,baseline
2000000,14700,939050,232997,616846,102200,58572,24406,376524,67878,448678,2000000,70489,10600,599957,133098,221243,168852,174964,138595,193594,217355,115902,32380,143513,27866,162032,34286,18122,1089292,610614,86943,103345,22.7,33.27,1001.35,117512.04,-1,baseline
2000000,14692,937281,233215,616270,102220,58520,24390,376419,67840,448923,2000000,70512,10593,599777,133121,221400,168712,175190,138648,193721,217579,115954,32385,143430,27871,162300,34304,18091,1091870,610505,86943,103400,22.7,33.24,1001.35,117836.59,-1,baseline
2000000,14709,941059,233409,616340,102221,58594,24403,376156,67874,449624,2000000,70496,10629,599235,133156,221711,168587,174857,138630,193751,217080,115972,32410,143203,27894,162285,34325,18132,1093163,610389,86938,103387,22.69,33.23,1001.39,117269.81,-1,baseline
2000000,14691,937522,233675,615401,102338,58514,24397,376369,67825,448990,2000000,70463,10568,599371,133211,221265,168343,175082,138633,193629,217710,115916,32376,143117,27848,162200,34294,18141,1092363,610306,86906,103387,22.69,33.18,1001.39,117755.28,-1,baseline
2000000,14692,936329,233423,615675,102236,58564,24383,376166,67853,449048,2000000,70442,10589,599433,133175,222385,168541,175304,138598,193679,217560,115909,32398,142973,27896,162119,34316,18107,1098576,610302,86948,103383,22.69,33.15,1001.39,117512.04,-1,baseline
2000000,14687,937833,233005,615291,102139,58508,24413,376302,67868,448360,2000000,70467,10582,599157,133257,220428,168695,175212,138556,193776,217645,115916,32391,142830,27903,162317,34329,18150,1089550,610568,86968,103370,22.68,33.13,1001.38,117593.01,-1,baseline
2000000,14712,937791,233431,614607,102159,58497,24394,376297,67845,448529,2000000,70450,10600,599149,133229,220376,168512,175387,138495,193660,217492,115999,32401,142792,27882,162270,34327,18103,1090958,610278,86960,103383,22.68,33.09,1001.35,117350.44,-1,baseline
