RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,17545,216766,25755,1142,43706,74598,11746,297215,5709,84635,2000000,453770,3584,701251,5389,92663,23921,87873,36104,124501,175762,68549,11262,64942,8146,22649,5320,11265,87129,605354,350219,181097,21.79,33.48,1001.32,183249.82,-1,baseline
2000000,17554,216688,25794,1150,43708,74615,11763,297279,5717,84627,2000000,454474,3549,701988,5361,92671,23937,87993,36131,124555,175826,68524,11242,64931,8130,22667,5275,11255,87138,605769,349089,181045,21.79,33.47,1001.31,182661.43,-1,baseline
2000000,17577,217135,25794,1145,43711,74596,11743,297033,5696,84628,2000000,453456,3566,701703,5398,92920,23937,87996,36151,124568,175831,68491,11249,64990,8155,22662,5321,11266,87133,604402,349519,181042,21.78,33.46,1001.3,183644.18,-1,baseline
2000000,17597,216822,25796,1140,43739,74624,11778,297202,5714,84632,2000000,452789,3545,701472,5392,92740,23903,87883,36090,124567,175710,68510,11225,64936,8127,22642,5274,11232,87148,605127,350353,181051,21.78,33.48,1001.34,183446.79,-1,baseline
2000000,17538,217200,25790,1124,43714,74627,11761,297111,5707,84589,2000000,452665,3550,701539,5364,92562,23899,87876,36055,124521,175720,68502,11228,64922,8114,22639,5286,11251,87203,604654,350549,181036,21.78,33.45,1001.29,183446.79,-1,baseline
2000000,17568,216982,25810,1136,43692,74608,11775,297238,5686,84637,2000000,453220,3536,701744,5375,92902,23956,88008,36110,124520,175773,68490,11248,64925,8116,22612,5304,11265,87167,604874,350326,181016,21.8,33.46,1001.33,183644.18,-1,baseline
2000000,17568,217384,25795,1126,43700,74590,11739,297131,5691,84663,2000000,453095,3568,701900,5407,92652,23931,88028,36133,124529,175764,68514,11237,64910,8118,22608,5295,11255,87214,604066,350313,180928,21.79,33.46,1001.3,183842.01,-1,baseline
2000000,17571,217231,25797,1124,43715,74587,11745,297171,5702,84627,2000000,452504,3568,701134,5392,92541,23924,87900,36118,124482,175850,68520,11255,64919,8150,22665,5316,11251,87152,603753,350269,180959,21.79,33.47,1001.33,182857.14,-1,baseline
2000000,17582,217615,25826,1140,43736,74656,11782,297061,5680,84607,2000000,452907,3533,701243,5380,92485,23935,88042,36075,124467,175937,68550,11246,64896,8112,22612,5302,11235,87132,604795,350297,181019,21.8,33.47,1001.31,183249.82,-1,baseline
2000000,17559,217182,25768,1122,43706,74558,11759,297200,5682,84616,2000000,452496,3573,701348,5391,92639,23906,87935,36119,124543,175845,68523,11251,64906,8116,22644,5266,11266,87126,603502,350968,181071,21.8,33.44,1001.34,183842.01,-1,baseline
