RRF0,CHR0,CHR1,CHR2,CHR3,CHR4,CHR5,CHR6,CHR7,CHR8,CHR9,CHR10,CHR11,CHR12,CHR13,CHR14,CHR15,CHR16,CHR17,CHR18,CHR19,CHR20,CHR21,CHR22,CHR23,CHR24,CHR25,CHR26,CHR27,CHR28,CHR29,CHR30,CHR31,T0,H0,P0,GAS0,FAN0,Trial State
2000000,17575,216649,25837,1147,43753,74752,11775,296739,5716,84521,2000000,448405,3614,697788,5378,92754,23962,88378,36103,124114,175536,68466,11299,64113,8164,22718,5325,11151,86359,598965,349685,180822,21.97,32.79,1001.51,185843.92,-1,baseline
2000000,17614,216838,25842,1168,43729,74686,11780,296691,5723,84515,2000000,448948,3628,698345,5417,92508,23965,88384,36138,124203,175583,68475,11262,64123,8173,22711,5318,11160,86337,597987,350259,180693,21.98,32.78,1001.49,184238.93,-1,baseline
2000000,17577,216792,25833,1110,43741,74709,11736,296558,5723,84497,2000000,448993,3591,697915,5384,92688,23947,88406,36105,124213,175661,68422,11269,64066,8144,22682,5320,11126,86244,598925,349612,180739,21.98,32.79,1001.49,186249.54,-1,baseline
2000000,17570,216689,25824,1119,43764,74670,11760,296477,5726,84546,2000000,448338,3614,698449,5408,92947,23966,88086,36089,124332,175619,68478,11285,64041,8164,22696,5327,11137,86342,599071,350434,180774,21.98,32.77,1001.48,185238.78,-1,baseline
2000000,17569,216646,25845,1145,43760,74655,11764,296795,5739,84504,2000000,448226,3612,698447,5378,92659,23955,88126,36103,124405,175519,68455,11233,64045,8139,22702,5309,11140,86328,600309,349838,180730,21.98,32.77,1001.49,185238.78,-1,baseline
2000000,17584,216644,25801,1135,43789,74732,11794,296470,5737,84513,2000000,449089,3625,697660,5410,92787,23969,88112,36056,124529,175403,68441,11237,64042,8150,22668,5309,11144,86302,598143,349884,180793,21.98,32.74,1001.43,185440.06,-1,baseline
2000000,17589,216484,25824,1117,43773,74695,11750,296639,5733,84544,2000000,449154,3584,697490,5385,92789,23933,88053,36087,124413,175365,68469,11257,64045,8146,22698,5305,11160,86367,598952,349652,180822,21.98,32.75,1001.42,185440.06,-1,baseline
2000000,17570,216286,25837,1135,43762,74735,11777,296674,5696,84491,2000000,448885,3566,697778,5364,93024,23932,88105,36107,124448,175424,68441,11251,64029,8129,22669,5291,11142,86226,597899,350037,180698,21.98,32.74,1001.4,186046.51,-1,baseline
2000000,17584,216596,25848,1106,43717,74698,11743,296508,5719,84526,2000000,449262,3573,697495,5392,92531,23955,87937,36076,124413,175567,68467,11283,64060,8173,22700,5341,11164,86310,598786,350280,180711,21.98,32.74,1001.44,185037.95,-1,baseline
2000000,17555,216555,25846,1145,43757,74763,11750,296626,5710,84473,2000000,448727,3582,698135,5392,92687,23949,88300,36091,124366,175469,68437,11292,64009,8151,22682,5277,11123,86280,599379,350066,180777,21.98,32.75,1001.42,185440.06,-1,baseline
2000000,17591,216690,25846,1143,43715,74721,11761,296687,5719,84490,2000000,449756,3588,698067,5377,92891,23966,88361,36104,124480,175464,68436,11244,64022,8132,22698,5311,11119,86282,597326,350046,180670,21.98,32.74,1001.42,186249.54,-1,baseline
2000000,17572,216720,25855,1142,43722,74738,11787,296688,5726,84491,2000000,447417,3595,698690,5394,92821,23949,88338,36127,124432,175466,68456,11267,64024,8130,22684,5279,11130,86254,596992,350397,180791,21.99,32.74,1001.4,184837.54,-1,baseline
2000000,17570,216581,25839,1099,43766,74703,11730,296564,5719,84498,2000000,448201,3607,697492,5373,92637,23946,88382,36079,124462,175602,68429,11253,64043,8169,22702,5320,11148,86337,598546,349814,180682,21.98,32.74,1001.37,185440.06,-1,baseline
2000000,17568,217016,25873,1154,43744,74755,11778,296749,5696,84491,2000000,448487,3580,698354,5399,92679,23978,88402,36124,124333,175537,68444,11273,64036,8132,22684,5323,11130,86303,599943,349771,180698,21.98,32.72,1001.39,185238.78,-1,baseline
2000000,17557,216477,25832,1122,43727,74703,11757,296751,5750,84517,2000000,448866,3580,696843,5408,92889,23949,88456,36107,124397,175550,68455,11294,64039,8166,22689,5297,11144,86284,600032,349774,180751,21.97,32.72,1001.36,185238.78,-1,baseline
2000000,17552,216627,25855,1124,43755,74672,11762,296585,5737,84551,2000000,448849,3586,696716,5394,92778,23971,88435,36095,124483,175642,68424,11276,64080,8160,22680,5320,11126,86266,600157,349950,180790,21.98,32.73,1001.37,185641.76,-1,baseline
2000000,17575,216631,25819,1129,43766,74722,11759,296708,5693,84540,2000000,448870,3572,697127,5378,92726,23949,88354,36107,124514,175482,68435,11276,64066,8150,22693,5311,11162,86292,599201,350008,180803,21.98,32.72,1001.41,185843.92,-1,baseline
2000000,17600,216841,25828,1131,43744,74668,11759,296592,5734,84554,2000000,449474,3602,698282,5400,92533,23953,88365,36111,124503,175546,68485,11281,64045,8169,22723,5305,11135,86278,599491,349850,180752,21.98,32.72,1001.38,185238.78,-1,baseline
2000000,17581,217083,25837,1120,43773,74688,11763,296596,5698,84565,2000000,449777,3616,697559,5417,92672,23962,88397,36102,124534,175491,68462,11262,64092,8141,22698,5325,11148,86294,599814,350044,180745,21.98,32.72,1001.37,185641.76,-1,baseline
